Number of Records,Player Age,Player Gender,Player Height,Player Id,Player Name
1,,M,200,P117840,Aleksey Petrovich Rastvortsev
1,,M,184,P117841,Aleksey Pogorelov
1,,M,192,P117842,Aleksey Sergeyevich Bryansky
1,,M,182,P117843,Aleksey Sergeyevich Pushkaryov
1,,M,197,P117844,Aleksey Sergeyevich Zagorny
1,,M,171,P117845,Aleksey Sitnikov
1,,M,184,P117846,Aleksey Vasilyevich Drozdov
1,,M,182,P117847,Aleksey Vasilyevich Klimov
1,,M,180,P117848,Aleksey Vasilyevich Tokarev
1,,M,190,P117849,Aleksey Veniaminovich Kostygov
1,,M,187,P117850,Aleksey Viktorovich Dergunov
1,,M,183,P117851,Aleksey Viktorovich Gavrilovich
1,,M,198,P117852,Aleksey Viktorovich Shved
1,,M,167,P117853,Aleksey Viktorovich Tishchenko
1,,M,180,P117854,Aleksey Vitalyevich Stukalsky
1,,M,176,P117855,Aleksey Vladimirovich Korolyov
1,,M,206,P117856,Aleksey Vladimirovich Kuleshov
1,,M,175,P117857,Aleksey Vladimirovich Mishin
1,,M,190,P117858,Aleksey Vladimirovich Mzhachik
1,,M,178,P117859,Aleksey Vladimirovich Sokolov
1,,M,202,P117860,Aleksey Vladimirovich Svirin
1,,M,180,P117861,Aleksey Vladimirovich Tereshchenko
1,,M,186,P117862,Aleksey Vyacheslavovich Yemelin
1,,M,176,P117863,Aleksey Yevgenyevich Petukhov
1,,M,185,P117864,Aleksey Yuryevich Kurbatov
1,,M,186,P117865,Aleksey Yuryevich Mochalov
1,,M,186,P117866,Aleksey Yuryevich Poltoranin
1,,M,181,P117867,Aleksey Yuryevich Yesin
1,,M,184,P117868,Aleksi Benianidze
1,,M,180,P117869,Aleksi Mikael Ojala
1,,M,176,P117870,Aleksi Patja
1,,M,190,P117871,Alem Toski
1,,M,175,P117872,Alemayehu Bezabeh Desta
1,,F,165,P117873,Alemitu Bekele Degfa
1,,M,162,P117874,Alemu Bekele Gebre
1,,M,185,P117875,Alen Taimurazovych Zasieiev
1,,F,190,P117876,Alena Hanuov
1,,F,176,P117877,Alena Popchanka Vergnoux
1,,F,171,P117878,Alena Prochzkov
1,,F,168,P117879,Alena Sharp
1,,F,147,P117013, Th Ngn Thng
1,,M,170,P117014,A Lamusi
1,,M,207,P117015,A. Joshua Josh West
1,,M,172,P117016,Aadam Ismaeel Khamis
1,,M,191,P117017,Aarik Wilson
1,,M,180,P117018,Aarn Sarmiento Padilla
1,,M,183,P117019,Aaron Arthur Cook
1,,M,180,P117020,Aaron Blunck
1,,M,198,P117021,Aaron Brown
1,,M,190,P117022,Aaron Feltham
1,,M,181,P117023,Aaron Gate
1,,M,178,P117024,Aaron James Ramsey
1,,M,177,P117025,Aaron James Scott
1,,M,180,P117026,Aaron John Royle
1,,M,185,P117027,Aaron March
1,,M,173,P117028,Aaron Nigel Armstrong
1,,M,206,P117029,Aaron Russell
1,,M,191,P117030,Aaron Wells Peirsol
1,,M,193,P117031,Aaron Younger
1,,F,180,P117032,Aauri Lorena Bokesa Abia
1,,F,165,P117033,Ababel Yeshaneh Birhane
1,,M,170,P117034,Abadi Hadis Embaye
1,,M,173,P117035,Abbas AlQaisoum
1,,M,168,P117036,Abbas Dabbaghi Souraki
1,,M,178,P117037,Abbas Qali
1,,M,203,P117038,Abbas Samimi
1,,F,178,P117039,Abbey Weitzeil
1,,M,186,P117040,Abbos Atayev
1,,M,161,P117041,Abbos Rakhmonov
1,,M,175,P117042,Abbubaker Mobara
1,,F,189,P117043,Abby Bishop
1,,F,177,P117044,Abby May Erceg
1,,M,185,P117045,Abdalelah Haroun Hassan
1,,M,170,P117046,Abdalla Abdelgadir ElSheikh
1,,M,198,P117047,Abdalla Ahmed
1,,M,177,P117048,Abdalla Yousif
1,,M,204,P117049,Abdel Aziz Boukar Boukar Moussa
1,,M,176,P117050,Abdel Aziz Mehelba
1,,M,175,P117051,Abdel Aziz Merzougui Noureddine
1,,M,202,P117052,Abdel Latif Ahmed
1,,M,185,P117053,Abdel Rahman Salah Orabi Abdelgawwad
1,,M,184,P117054,Abdel Razek Ibrahim
1,,M,171,P117055,AbdelKarim El Haouari
1,,M,200,P117056,Abdelali Darra
1,,M,187,P117057,Abdelati ElGuesse
1,,M,174,P117058,Abdelatif Noussir
1,,M,180,P117059,Abdelaziz Barrada
1,,M,173,P117060,Abdelaziz Ennaji ElIdrissi
1,,M,181,P117061,Abdelaziz Mohamed Ahmed
1,,M,182,P117062,Abdelaziz Muhammad Sanquor Qambar AlMaza
